Company,GST No,State,State Code,City,Address,Zip Code,PAN,CIN,Customer,Customer Address,GST No,Phone,Email,Type,Invoice No.,MRN/PO No.,Invoice Date,Raw Material,Category,Sub Category,HSN Code,Sap Code,Unit,Quantity,Price (?),Pre Tax Amount (?),CGST Tax Percentage,CGST Tax (?),SGST Tax Percentage,SGST Tax/Excise Duty (?),IGST Tax/VAT Percentage,IGST Tax/VAT Amount (?),CESS Tax Percentage,CESS Tax,Total TCS (?),Discount (?),Delivery Charge (?),Total Amount (?),Invoice Total (?),Raw Material ID,Raw Material Code,Description
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,SHOEB FAIM SHAIKH,,,,,Purchase,615/JAN,5221,20-Jan-24,Tiger Prawns,Meat Material,Sea Food,0,,Kg,4,1100,4400,0,0,0,0,0,0,0,0,0,0,0,4400,7310,16704437,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,SHOEB FAIM SHAIKH,,,,,Purchase,615/JAN,5221,20-Jan-24,Surmay Fish,Meat Material,Sea Food,0,,Kg,4.5,550,2475,0,0,0,0,0,0,0,0,,,,2475,,16704438,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,SHOEB FAIM SHAIKH,,,,,Purchase,615/JAN,5221,20-Jan-24,Bombil,Meat Material,Sea Food,0,,Kg,2.9,150,435,0,0,0,0,0,0,0,0,,,,435,,16704456,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,Bhakti Catering,,,,,Purchase,62/JAN,5220,20-Jan-24,Chapati For Staff,Grocery,,0,,PCS,300,5.5,1650,0,0,0,0,0,0,0,0,0,0,0,1650,1650,16704128,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,Lagoon General Stores,,,,,Purchase,61/JAN,5219,20-Jan-24,Oreo Biscuit,Grocery,,0,,PKT,20,10,200,0,0,0,0,0,0,0,0,0,0,0,200,200,16704023,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,Mansha Agencies Pvt Ltd,,,,,Purchase,15845/JAN,5218,20-Jan-24,J W Black Label,Bar,Scotch Whisky,0,,BTL,3,3693.92,11081.75,0,0,0,0,0,0,0,0,109.39,143,0,10938.81,11048,16704468,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,FREEZE FRESH,,,,,Purchase,6813-Jan,5217,20-Jan-24,Peel Garlic,Vegetable,,0,,Kg,10,240,2400,0,0,0,0,0,0,0,0,0,0,0,2400,2400,16703876,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,GEM ICE CUBES,,,,,Purchase,4169-Jan,5216,20-Jan-24,Ice,Food Ingredients,Frozan,0,,Kg,61,7,427,0,0,0,0,0,0,0,0,0,0,0,427,427,16704661,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,S.S.V DISTRIBUTORS INDIA PVT. LTD.,,,,,Purchase,23045/JAN,5215,20-Jan-24,Vanilla Md Ice Cream,Food Ingredients,Ice Cream & Kulfi,0,,LTR,4,85.52,342.09,9,30.79,9,30.79,0,0,0,0,0,0,0,403.67,3816,16704557,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,S.S.V DISTRIBUTORS INDIA PVT. LTD.,,,,,Purchase,23045/JAN,5215,20-Jan-24,French Fries 9mm,Food Ingredients,Frozan,0,,PKT,2,372.87,745.74,6,44.74,6,44.74,0,0,0,0,,,,835.22,,16704660,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,S.S.V DISTRIBUTORS INDIA PVT. LTD.,,,,,Purchase,23045/JAN,5215,20-Jan-24,Curd Mother Dairy,Dairy Products,Dairy,0,,Kg,24,102.29,2454.84,2.5,61.37,2.5,61.37,0,0,0,0,,,,2577.58,,16704803,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,SHIVKRUPA ENTERPRISES,,,,,Purchase,43581/JAN,5214,20-Jan-24,Water Melon,Fresh Fruits,,0,,Kg,15.3,40,612,0,0,0,0,0,0,0,0,0,0,0,612,3185,16704057,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,SHIVKRUPA ENTERPRISES,,,,,Purchase,43581/JAN,5214,20-Jan-24,Sweet Lemon,Fresh Fruits,,0,,Kg,6.5,80,520,0,0,0,0,0,0,0,0,,,,520,,16704058,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,SHIVKRUPA ENTERPRISES,,,,,Purchase,43581/JAN,5214,20-Jan-24,Pineapple Fruit,Fresh Fruits,,0,,Kg,8,70,560,0,0,0,0,0,0,0,0,,,,560,,16704064,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,SHIVKRUPA ENTERPRISES,,,,,Purchase,43581/JAN,5214,20-Jan-24,Papaya,Fresh Fruits,,0,,Kg,5.7,40,228,0,0,0,0,0,0,0,0,,,,228,,16704068,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,SHIVKRUPA ENTERPRISES,,,,,Purchase,43581/JAN,5214,20-Jan-24,Orange,Fresh Fruits,,0,,Kg,10,70,700,0,0,0,0,0,0,0,0,,,,700,,16704070,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,SHIVKRUPA ENTERPRISES,,,,,Purchase,43581/JAN,5214,20-Jan-24,Muskmelon,Fresh Fruits,,0,,Kg,3.4,55,187,0,0,0,0,0,0,0,0,,,,187,,16704071,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,SHIVKRUPA ENTERPRISES,,,,,Purchase,43581/JAN,5214,20-Jan-24,Elaichi Bananas,Fresh Fruits,,0,,Kg,1.8,110,198,0,0,0,0,0,0,0,0,,,,198,,16704075,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,SHIVKRUPA ENTERPRISES,,,,,Purchase,43581/JAN,5214,20-Jan-24,Apple,Fresh Fruits,,0,,Kg,1,180,180,0,0,0,0,0,0,0,0,,,,180,,16704084,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,Zomato Hyperpure Pvt.Ltd.Mumbai,,,,,Purchase,497977/JAN,5213,20-Jan-24,Orange,Fresh Fruits,,0,,Kg,10,51.8,518,0,0,0,0,0,0,0,0,0,0,0,518,2978,16704070,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,Zomato Hyperpure Pvt.Ltd.Mumbai,,,,,Purchase,497977/JAN,5213,20-Jan-24,Amul Cream,Dairy Products,Dairy,0,,PKT,12,205,2460,0,0,0,0,0,0,0,0,,,,2460,,16704811,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,Zomato Hyperpure Pvt.Ltd.Mumbai,,,,,Purchase,524834/JAN,5212,20-Jan-24,Potato Starch,Grocery,,0,,Kg,8,210.32,1682.56,6,100.95,6,100.95,0,0,0,0,0,0,0,1884.46,7566,16704013,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,Zomato Hyperpure Pvt.Ltd.Mumbai,,,,,Purchase,524834/JAN,5212,20-Jan-24,Rich Cooking Cream,Dairy Products,Dairy,0,,PKT,4,182,728,9,65.52,9,65.52,0,0,0,0,,,,859.04,,16704792,,
Main Store,,Maharashtra,27,Mumbai,"148 B, Juhu Tara Rd,",400049,,,Zomato Hyperpure Pvt.Ltd.Mumbai,,,,,Purchase,524834/JAN,5212,20-Jan-24,Amul Milk,Dairy Products,Dairy,0,,LTR,24,72.65,1743.6,2.5,43.59,2.5,43.59,0,0,0,0,,,,1830.78,,16704810,,
